,nit,x_diff,f_diff,p_id,duration_microsec
0,1,5.45262e-13,2.97311e-25,0,3.37
1,1,2.50941e-13,6.29713e-26,1,1.923
2,1,4.90788e-13,2.40873e-25,2,1.872
3,1,8.04959e-13,6.4796e-25,3,1.753
4,1,2.62334e-13,6.88191e-26,4,1.81
5,1,6.72109e-13,4.5173e-25,5,1.737
6,1,1.36163e-13,1.85403e-26,6,1.736
7,1,6.08824e-13,3.70667e-25,7,1.713
8,1,5.09387e-13,2.59475e-25,8,1.79
9,1,1.14476e-12,1.31047e-24,9,1.742
10,1,9.48742e-13,9.00111e-25,10,2.823
11,1,1.07342e-13,1.15222e-26,11,1.629
12,1,6.91342e-13,4.77953e-25,12,1.675
13,1,7.16029e-13,5.12697e-25,13,1.644
14,1,1.55448e-12,2.4164e-24,14,1.625
15,1,4.39588e-13,1.93237e-25,15,1.617
16,1,6.60545e-13,4.3632e-25,16,1.662
17,1,3.72391e-13,1.38675e-25,17,1.641
18,1,9.565e-13,9.14891e-25,18,1.624
19,1,5.78747e-13,3.34948e-25,19,1.617
20,1,5.45715e-13,2.97805e-25,20,1.734
21,1,7.75036e-13,6.0068e-25,21,1.628
22,1,6.25222e-13,3.90903e-25,22,1.698
23,1,5.60818e-13,3.14517e-25,23,1.761
24,1,7.62117e-13,5.80823e-25,24,1.787
25,1,1.03071e-12,1.06235e-24,25,1.838
26,1,4.85268e-13,2.35485e-25,26,1.8
27,1,9.6611e-13,9.33369e-25,27,1.784
28,1,3.59164e-13,1.28999e-25,28,1.776
29,1,1.24014e-12,1.53794e-24,29,1.787
